fld	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11
0.106800	-0.021325	0.000000	-0.136355	-0.031314	0.146519	0.000000	-0.000000	-0.033392	0.001487	0.000000	-0.084126
0.108000	-0.038342	0.000000	-0.138903	-0.047789	0.168859	0.000000	-0.000000	-0.034256	0.002032	0.000000	-0.086961
0.109200	-0.056513	0.000000	-0.141547	-0.065415	0.192458	0.000000	-0.000000	-0.035168	0.002582	-0.000000	-0.089857
0.110400	-0.075882	0.000000	-0.144293	-0.084234	0.217360	0.000000	-0.000000	-0.036130	0.003137	-0.000000	-0.092813
0.111600	-0.096490	0.000000	-0.147146	-0.104287	0.243613	0.000000	-0.000000	-0.037146	0.003696	-0.000000	-0.095831
0.112800	-0.118382	0.000000	-0.150112	-0.125620	0.271264	0.000000	-0.000000	-0.038217	0.004260	0.000000	-0.098909
0.114000	-0.141603	0.000000	-0.153197	-0.148277	0.300363	-0.000000	-0.000000	-0.039348	0.004828	0.000000	-0.102050
0.115200	-0.166198	0.000000	-0.156407	-0.172305	0.330961	-0.000000	-0.000000	-0.040541	0.005400	-0.000000	-0.105252
0.116400	-0.192216	0.000000	-0.159748	-0.197751	0.363109	0.000000	0.000000	-0.041799	0.005977	0.000000	-0.108517
0.117600	-0.219704	0.000000	-0.163227	-0.224664	0.396861	-0.000000	-0.000000	-0.043127	0.006557	0.000000	-0.111844
0.118800	-0.248713	0.000000	-0.166850	-0.253093	0.432273	-0.000000	-0.000000	-0.044526	0.007141	0.000000	-0.115235
0.120000	-0.279295	0.000000	-0.170626	-0.283091	0.469401	-0.000000	-0.000000	-0.046001	0.007729	-0.000000	-0.118688
